assignment_id,task_id,replicate,condition_id,arm,checkpoint,included,public_nonidentical,narration_available,narrated_status,quote_failures,actual_changed_files,exit_code,attempt_count,source_public_sha256,output_public_sha256,record_path,record_sha256
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,0,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,a0607634c74d648a9a48b93489981493fb9bb3e4e75342096502a8e58e7fe5fb,0b7720e2a89f72d0b6ebc28a004820af8d4a6ba5961e21a1097e380029763a0e,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0000/attack-record-v2.json,6cb18ca6d0ab4b3667f0b19b20a167d1d93b3fd298cc849602ceb57e118ee7b0
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,1,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,f8cc8b7b9a415220bf3b4f0bb61d2eadf844bc6fe589d76a7697f9e0a3d2bb92,8aa0b27026f89b747bdd89d969379d37bb90dd942e7d66d30542ff061cb88803,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0001/attack-record-v2.json,6153d090afdcfc866cfab0c35ef815ab5eec499872ce0c2c43621c631340c909
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,f8cc8b7b9a415220bf3b4f0bb61d2eadf844bc6fe589d76a7697f9e0a3d2bb92,9d182d9479426cb1043c5cdc703ba48ba2a6132a5222dc1b8191ccc0cfcb692b,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0002/attack-record-v2.json,505dbbb4aa60cf9a2ddfb40cd0a2f094ba5d359d6e05ada777bc3305c2efcf35
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,f8cc8b7b9a415220bf3b4f0bb61d2eadf844bc6fe589d76a7697f9e0a3d2bb92,eff9f5b03fb1f7056b9b7e9322ef464f0ce4aabf03f54b5b490b53d12d8b4eba,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0003/attack-record-v2.json,36bc635b40520f74ae28c36c8b2b6336ca8fdc4e909a63f44c9539661ac164d0
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,f8cc8b7b9a415220bf3b4f0bb61d2eadf844bc6fe589d76a7697f9e0a3d2bb92,8e2a9329183d3428ad2e16fc78fd5147bdb61f7c80edf8ba3f03f531b6bb01b9,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/red-team/checkpoint-0004/attack-record-v2.json,d2dee757ee702eb178fa0650b8caa60f89ccd7b22b3cd2912168ae917e31a92c
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,0,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ab95a96976026f81879c2daefc04c8c451889351103622c3ba92cf6e149334f4,f6a07c82992ec408ca46a276081c494ba9a28a1db43fbee6f86d3e24fe80cbdb,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0000/attack-record-v2.json,58094ef5e81c417179b0afe6fa40de73f32303840f1b9578a8e917ceca0008a2
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,1,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ba746b288c5d71663747ea9044a4f12c5b9114a16cab31a9cf5a9609f29d0bc6,46b39150f6f95fc484a1d0aa8b708d2b7cee8b270e4697ddbafdcc04b769bb58,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0001/attack-record-v2.json,fe38a21e627d22bff650f1c9f2935a3a0d0f082a889b80797c9868071b001995
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,2,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ba746b288c5d71663747ea9044a4f12c5b9114a16cab31a9cf5a9609f29d0bc6,8d5841859f8334934eb89b9816a7671f3de34f280da8feb4ddf8d8bad3f95126,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0002/attack-record-v2.json,d24c82052fd1f2626284aa3e526c1187825788a8dbdacbbe996b68ad478e2e35
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,3,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ba746b288c5d71663747ea9044a4f12c5b9114a16cab31a9cf5a9609f29d0bc6,f317f965bd2d876299c421aa2d2e5f0eed320346d8a20af2da7ea6b4a9710405,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0003/attack-record-v2.json,acbd91ded28d04f898b3f1c5a9552c20745fb9ca26db3b5ebc2615583ccf3bfb
da-10-1--rep-003--solver-luna--full-red-team-trace,da-10-1,3,full-red-team-trace,full,4,True,True,True,attack_created,[],"[""answer.txt"", ""trace.md""]",0,1,ba746b288c5d71663747ea9044a4f12c5b9114a16cab31a9cf5a9609f29d0bc6,64f4066cce0f44e26c44f5ea69910e384c2df6716efd4db8bca19bf434c2f128,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/red-team/checkpoint-0004/attack-record-v2.json,8beb6e2f309d0e1ab64c1a277e8172f8801ceae5225d4cfd2941b6254dda577e
