task_id,replicate,arm,condition,condition_id,assignment_id,artifact_id,initial_submission_sha256,model,S,D,H,S_minus_D,D_minus_H,S_minus_H
da-17-1,1,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gemini-3.8-flash,90.0,90.0,90.0,0.0,0.0,0.0
da-17-1,1,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gpt-5.6-sol,84.0,80.0,79.33333333333333,4.0,0.6666666666666714,4.666666666666671
da-17-1,1,Full,Static,full-static,da-17-1--rep-001--solver-luna--full-static,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gemini-3.8-flash,100.0,100.0,100.0,0.0,0.0,0.0
da-17-1,1,Full,Static,full-static,da-17-1--rep-001--solver-luna--full-static,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gpt-5.6-sol,90.0,90.0,90.0,0.0,0.0,0.0
da-17-1,1,User,RTT,user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gemini-3.8-flash,90.0,90.0,93.33333333333333,0.0,-3.3333333333333286,-3.3333333333333286
da-17-1,1,User,RTT,user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gpt-5.6-sol,90.0,90.0,90.0,0.0,0.0,0.0
da-17-1,1,User,Static,user-simulator-static,da-17-1--rep-001--solver-luna--user-simulator-static,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gemini-3.8-flash,90.0,90.0,90.0,0.0,0.0,0.0
da-17-1,1,User,Static,user-simulator-static,da-17-1--rep-001--solver-luna--user-simulator-static,da-17-1--rep-001,3a56cdb61ae0719d9193a75a6324c276717d48d5b909f473aeea1db823071664,gpt-5.6-sol,70.0,74.0,64.0,-4.0,10.0,6.0
da-17-1,2,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002,c18b5fb1f06017d423bdb0e846f6c0aa380be15a5d2b59825a95b97933b6d655,gemini-3.8-flash,90.0,90.0,90.0,0.0,0.0,0.0
da-17-1,2,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002,c18b5fb1f06017d423bdb0e846f6c0aa380be15a5d2b59825a95b97933b6d655,gpt-5.6-sol,85.0,85.0,85.0,0.0,0.0,0.0
