task_id,replicate,arm,condition,condition_id,assignment_id,artifact_id,panel,S,D,H,S_minus_D,D_minus_H,S_minus_H,S_gemini,D_gemini,H_gemini,S_sol,D_sol,H_sol
da-17-1,1,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,equal-weight-sol-gemini,87.0,85.0,84.66666666666666,2.0,0.3333333333333357,2.3333333333333357,90.0,90.0,90.0,84.0,80.0,79.33333333333333
da-17-1,1,Full,Static,full-static,da-17-1--rep-001--solver-luna--full-static,da-17-1--rep-001,equal-weight-sol-gemini,95.0,95.0,95.0,0.0,0.0,0.0,100.0,100.0,100.0,90.0,90.0,90.0
da-17-1,1,User,RTT,user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-001,equal-weight-sol-gemini,90.0,90.0,91.66666666666666,0.0,-1.6666666666666643,-1.6666666666666643,90.0,90.0,93.33333333333333,90.0,90.0,90.0
da-17-1,1,User,Static,user-simulator-static,da-17-1--rep-001--solver-luna--user-simulator-static,da-17-1--rep-001,equal-weight-sol-gemini,80.0,82.0,77.0,-2.0,5.0,3.0,90.0,90.0,90.0,70.0,74.0,64.0
da-17-1,2,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002,equal-weight-sol-gemini,87.5,87.5,87.5,0.0,0.0,0.0,90.0,90.0,90.0,85.0,85.0,85.0
da-17-1,2,Full,Static,full-static,da-17-1--rep-002--solver-luna--full-static,da-17-1--rep-002,equal-weight-sol-gemini,97.5,92.5,99.16666666666666,5.0,-6.666666666666664,-1.6666666666666643,100.0,100.0,100.0,95.0,85.0,98.33333333333333
da-17-1,2,User,RTT,user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002--solver-luna--user-simulator-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-002,equal-weight-sol-gemini,85.5,85.5,82.83333333333334,0.0,2.6666666666666643,2.6666666666666643,90.0,90.0,90.0,81.0,81.0,75.66666666666667
da-17-1,2,User,Static,user-simulator-static,da-17-1--rep-002--solver-luna--user-simulator-static,da-17-1--rep-002,equal-weight-sol-gemini,90.0,90.0,91.66666666666666,0.0,-1.6666666666666643,-1.6666666666666643,90.0,90.0,93.33333333333333,90.0,90.0,90.0
da-17-1,3,Full,RTT,full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-003--solver-luna--full-red-team-trace-execution-verified-proactive-provenance,da-17-1--rep-003,equal-weight-sol-gemini,86.0,83.5,86.0,2.5,-2.5,0.0,90.0,90.0,93.33333333333333,82.0,77.0,78.66666666666667
da-17-1,3,Full,Static,full-static,da-17-1--rep-003--solver-luna--full-static,da-17-1--rep-003,equal-weight-sol-gemini,92.0,92.0,92.0,0.0,0.0,0.0,100.0,100.0,100.0,84.0,84.0,84.0
