assignment_id,task_id,replicate,condition_id,arm,generation,errors,pair_id,reason,stage,path,criterion_id,details
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,"[{""artifact_id"": ""artifact_39cb6c1654c8f013"", ""quote"": ""I treated every functional ESR1 variant as an LBD event... this operational call also includes observed variants outside residues 300–550 (for example p.G160D and p.K252N)"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_39cb6c1654c8f013"", ""reason"": ""missing_required_public_witness""}]",pair_b8362e7787f07c23,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,2,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_5fc84a2a7cdd69c8,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0002/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,"[{""artifact_id"": ""artifact_39cb6c1654c8f013"", ""quote"": ""I treated every functional ESR1 variant as an LBD event... this operational call also includes observed variants outside residues 300–550 (for example p.G160D and p.K252N)"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_39cb6c1654c8f013"", ""reason"": ""missing_required_public_witness""}]",pair_b8362e7787f07c23,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,"[{""artifact_id"": ""artifact_9c821689cd903733"", ""quote"": ""The explicit class list ... The 300–550 restriction is required"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_9c821689cd903733"", ""reason"": ""missing_required_public_witness""}]",pair_3dd6d9b1ec6f2853,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_bf0bc469d5fde174,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,3,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_5fc84a2a7cdd69c8,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0003/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,"[{""artifact_id"": ""artifact_39cb6c1654c8f013"", ""quote"": ""I treated every functional ESR1 variant as an LBD event... this operational call also includes observed variants outside residues 300–550 (for example p.G160D and p.K252N)"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_39cb6c1654c8f013"", ""reason"": ""missing_required_public_witness""}]",pair_b8362e7787f07c23,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,"[{""artifact_id"": ""artifact_9c821689cd903733"", ""quote"": ""The explicit class list ... The 300–550 restriction is required"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_9c821689cd903733"", ""reason"": ""missing_required_public_witness""}]",pair_3dd6d9b1ec6f2853,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_05b32feba70fa11a,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,4,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_bf0bc469d5fde174,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0004/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,"[{""artifact_id"": ""artifact_39cb6c1654c8f013"", ""quote"": ""I treated every functional ESR1 variant as an LBD event... this operational call also includes observed variants outside residues 300–550 (for example p.G160D and p.K252N)"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_39cb6c1654c8f013"", ""reason"": ""missing_required_public_witness""}]",pair_b8362e7787f07c23,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,"[{""artifact_id"": ""artifact_9c821689cd903733"", ""quote"": ""The explicit class list ... The 300–550 restriction is required"", ""reason"": ""quote_not_in_named_artifact""}, {""artifact_id"": ""artifact_9c821689cd903733"", ""reason"": ""missing_required_public_witness""}]",pair_3dd6d9b1ec6f2853,source_failure,quality,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_bf0bc469d5fde174,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criterion-validation.json,,
da-18-7--rep-002--solver-luna--user-simulator-red-team-trace,da-18-7,2,user-simulator-red-team-trace,user,5,"[{""reason"": ""invalid_diagnosis_replacement""}]",pair_05b32feba70fa11a,source_failure,diagnosis,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-7/rep-002/luna/user-simulator-red-team-trace/rubric-generations/generation-0005/criterion-validation.json,,
