stage,path,error_type,wall_seconds,status
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-requests/0666f9a7d9560364234fc13b3c2217615369900d270c5fe3cd3f7db0a66ee9cc/attempt-002.json,APITimeoutError,300.13813660200685,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/full-red-team-trace/trace-defense-requests/0666f9a7d9560364234fc13b3c2217615369900d270c5fe3cd3f7db0a66ee9cc/attempt-001.json,APITimeoutError,300.1563982858788,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-002/luna/full-red-team-trace/trace-defense-requests/15408bd179210ebceeafeb8286297bc70fba3a000e56b2ed7cc63831a20825ae/attempt-001.json,APITimeoutError,300.11134877894074,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-002/luna/full-red-team-trace/trace-defense-requests/a2914fbe5d552eece24eb6886bb45c8c8012b04a7cd9498bfda5b2d964852adc/attempt-001.json,APITimeoutError,300.13685733708553,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/f377a1d5dc2f174a19be7d60107671713a7e2e858f79faafafbd52933ce9d3da/attempt-001.json,APITimeoutError,300.5476983820554,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/7fabd43739e911aa14c45f1f8f6fe15713e033e04056993605c5cfbe173839b8/attempt-001.json,RuntimeError,297.6895179450512,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/e1e656f188f247dbadb077939e04d05a58675a2adec40d07bcd01e09b15e6bf6/attempt-001.json,APITimeoutError,300.1602600920014,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/4c12dec2c5c3d7c29eb0635d03212c7016b117b213fdf0ba4bb5ad838041a769/attempt-001.json,APITimeoutError,300.14866496808827,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/8ba087d782c63da0e8099a4c5d524bbae4e8dc3af41baa2f7fb72704ba5d9cc0/attempt-001.json,APITimeoutError,300.2435513420496,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/3a3d8b77c65413c9f4c22213484ce5bc1befb6ecd08551cc69a0c040261bf59d/attempt-001.json,APITimeoutError,300.15602260199375,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/9226933ab8e9ba640bd245133cbfb5910c0418c4f69376a8068fa332278aa531/attempt-001.json,APITimeoutError,300.13405623915605,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-3/rep-003/luna/full-red-team-trace/trace-defense-requests/fe33ae71985871e1315b68194fe28b7504b2e2fe92f7f309674b89da2702ed4c/attempt-001.json,APITimeoutError,300.1602554169949,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-13-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/25c1cf9e10dec1848f2555338bca321c674e8360481859a278a029f4a9bfa02f/attempt-001.json,APITimeoutError,300.28085386916064,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-8/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/cb1776caa6e74beeba5880ea6ece0d21ffe1de12350619d7934f538612134c6d/attempt-001.json,APITimeoutError,300.1456618779339,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-8/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/05320a32ca8022007d13968b63d30f41e65494633fe9adfe2b860982a06017d9/attempt-001.json,RuntimeError,299.6971272851806,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-2/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/a84655ce32fa963ddd6d9b74777a9395bb1a8c3688e4b095f2352efebc71774c/attempt-001.json,APITimeoutError,300.1808044461068,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-5/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/3e0e4a76153d5272c19b948c5f29c6ed1cf4467373bd2c2953712627143df557/attempt-001.json,APITimeoutError,300.25042172009125,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-7/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/37070583004b554338322a4f830044807af370578d48e89edfb6c5e131c34da3/attempt-001.json,APITimeoutError,300.1424220891204,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-7/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/00855cbfb38509d1e5b967381a99f2489ae29393a763aaf93287249a5a5736da/attempt-001.json,APITimeoutError,300.05653283698484,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/6b1673d77a19f03f35f125baee4943fd7db37e1636d80ac7182e8af91cc52c27/attempt-002.json,APITimeoutError,300.1337814209983,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/6b1673d77a19f03f35f125baee4943fd7db37e1636d80ac7182e8af91cc52c27/attempt-001.json,APITimeoutError,300.15620386600494,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-18-5/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/2c115e43251df8a8bd7d10e57ccb7f7d74c6dbf37d66ad25e61435eb177f8841/attempt-001.json,APITimeoutError,300.14807478687726,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-1/rep-003/luna/full-red-team-trace/trace-defense-requests/a9ed944eb84df708722fe2f9c406e7c5124b11181ef6cb2e595a603d1574f284/attempt-001.json,APITimeoutError,300.1148730069399,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/ed649afc709fe5b7f8e8f6812fc46a5e7bc272880472f0b3f9c51191edc8d2fa/attempt-001.json,APITimeoutError,300.34285845211707,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-3/rep-003/luna/full-red-team-trace/trace-defense-requests/8238f41148d11aa6d64cab433e62d80de3a3ffdd7948a2ec11bd5ff0c41ae056/attempt-001.json,APITimeoutError,309.8456397759728,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/14f678a8744eb18d731cf692c8a8c24c87415eee6b928e53675c74f016102d22/attempt-001.json,APITimeoutError,300.15316341794096,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-2/rep-002/luna/user-simulator-red-team-trace/trace-defense-requests/8c2a3f356588d709f72b3f30bbae59abf3070f9b441dc1e04612d78a15cf81b0/attempt-001.json,RuntimeError,303.3157146940939,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-12-4/rep-001/luna/user-simulator-red-team-trace/trace-defense-requests/33aea118975168a3785bec34d19dca41ecc3a44cbf195009868ea3b85e15c434/attempt-001.json,RuntimeError,299.86632060515694,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-1/rep-003/luna/user-simulator-red-team-trace/trace-defense-requests/a3140047f2da251ddd08c3ec2199ecbef61882dbfe4b8e6ce87b71931e0e9bc1/attempt-001.json,APITimeoutError,300.259448671015,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-1/rep-001/luna/full-red-team-trace/trace-defense-requests/ef29cd5b4b4b5910e0ee419b2bd0409bdee44e650453d8a14a917649d5b0cc98/attempt-001.json,APITimeoutError,303.4736046639737,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-19-1/rep-001/luna/full-red-team-trace/trace-defense-requests/ee044e0d0274310d09fa18e096025fc1fe60f01ed6bd98989d50b9982717a56a/attempt-001.json,APITimeoutError,300.1669317521155,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-14-1/rep-002/luna/full-red-team-trace/trace-defense-requests/0165b697c84d94a4510f808e5ab9ba2809fb0a42a532c8dcb2dd17115f121b3f/attempt-001.json,InternalServerError,10.215415608836338,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-15-7/rep-002/luna/full-red-team-trace/trace-defense-requests/d2bbc5b443d100319c8a813f715dfc4a71142c408860e55e6651513cdb0f4b4a/attempt-001.json,APITimeoutError,300.0881386708934,provider_failure
rubric_view,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v1-20260910/study/biomnibench-da-factorial-r10-3e186b5fe98c/experiments/da-10-1/rep-001/luna/full-red-team-trace/trace-defense-requests/6b4a4db00db60e86c7a2309ec457195f9f8b511f68ae468d0df308e0daf7b35b/attempt-001.json,APITimeoutError,300.2434131379705,provider_failure
