task_id,replicate,feedback_arm,rubric_policy,scientific_recipe,source_cohort,source_state_path,final_submission_id,auditor_rows,mission_execution,if_new_user_selected
da-10-1,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-10-1,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-002/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-10-1,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-1/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-10-3,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-3/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-10-3,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-3/rep-002/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-10-3,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-10-3/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-2,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-2/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-2,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-2/rep-002/luna/full-red-team-trace/state.json,s005,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-2,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-2/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-4,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-4/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-4,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-4/rep-002/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-12-4,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-12-4/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-1,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-1/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-1,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-1/rep-002/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-1,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-1/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-3,1,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-001/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-3,2,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-002/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
da-13-3,3,full,red_team_trace,attack_defense_v2.1,candidate_full,/data/user_data/aydanh/rubric_gen/runs/trace-attack-defense-v21-20260911/result20/study/biomnibench-da-factorial-r10-5115fffdd1c0/experiments/da-13-3/rep-003/luna/full-red-team-trace/state.json,s004,2,reused_existing_evidence,reuse_if_native_inputs_match
